service_year_month,claim_count,adjudicated_claims,gross_charges,allowed_amount,contractual_adjustments,total_payments,insurance_payments,patient_payments,ending_ar,denied_claims,clean_claims,fpr_claims,preventable_denials,denied_charge_amount,avg_charge_lag_days,avg_days_to_payment,denial_rate,clean_claim_rate,first_pass_resolution_rate,gross_collection_rate,net_collection_rate,total_ar_at_month_end,ar_over_90,open_claims_at_month_end,avg_daily_charges,days_in_ar,pct_ar_over_90
2025-01,773,773,4699384.65,3827540.72,871843.93,3274657.01,3161433.29,113223.72,268887.58,89,684,632,30,579818.73,5.516170763260026,39.82923673997413,0.1151,0.8849,0.8176,0.6968,0.8556,10190113.13,2749857.38,2658,152586.332637,66.8,0.2699
2025-02,747,747,4058378.44,3258665.98,799712.46,2845988.00,2769554.12,76433.88,266787.00,67,670,626,28,415449.86,5.570281124497992,41.75502008032129,0.0897,0.8969,0.838,0.7013,0.8734,9761342.44,3004222.90,2743,153968.050659,63.4,0.3078
2025-03,810,810,4652467.55,3787054.38,865413.17,3226095.24,3134810.12,91285.12,161209.36,95,706,645,39,579466.97,5.691358024691358,39.90864197530864,0.1173,0.8716,0.7963,0.6934,0.8519,10006797.69,2996693.32,2866,147365.171868,67.9,0.2995
2025-04,741,741,4246601.54,3354754.02,891847.52,2853539.01,2759696.61,93842.40,205156.79,74,650,595,34,527223.95,5.5951417004048585,41.719298245614034,0.0999,0.8772,0.803,0.6720,0.8506,9916155.35,3173619.78,2920,142389.533297,69.6,0.3200
2025-05,822,822,4857791.67,3923540.73,934250.94,3351321.79,3250870.20,100451.59,226196.49,92,733,647,39,576054.94,5.585158150851582,40.385644768856444,0.1119,0.8917,0.7871,0.6899,0.8542,10762028.75,3291599.53,3054,151174.294066,71.2,0.3059
2025-06,772,771,4309843.44,3418713.59,891129.85,2865961.07,2762941.53,103019.54,253289.33,93,683,611,43,624292.64,5.626943005181347,39.73929961089494,0.1206,0.8859,0.7925,0.6650,0.8383,10588517.05,3653631.95,3158,147409.193956,71.8,0.3451
2025-07,761,761,4489362.20,3619552.18,869810.02,3185468.21,3093633.96,91834.25,243632.69,78,672,564,37,451139.12,5.609724047306176,39.68856767411301,0.1025,0.883,0.7411,0.7096,0.8801,10857478.76,3987532.20,3222,150076.893516,72.3,0.3673
2025-08,799,796,4404084.69,3524403.43,879681.26,3017551.20,2925434.69,92116.51,457935.53,87,699,568,46,534772.59,5.65081351689612,39.4535175879397,0.1093,0.8781,0.7136,0.6852,0.8562,10963348.08,4224903.96,3330,145091.102527,75.6,0.3854
2025-09,757,738,4185157.54,3362140.54,823017.00,2894078.32,2841227.16,52851.16,495071.15,82,648,502,34,358700.18,5.936591809775429,39.78726287262872,0.1111,0.878,0.6802,0.6915,0.8608,10688851.27,4415216.05,3374,143720.927802,74.4,0.4131
2025-10,787,725,5089805.11,4052786.69,1037018.42,3094416.28,3057156.02,37260.26,1152267.17,79,655,463,32,514049.69,5.867852604828463,36.111724137931034,0.109,0.9034,0.6386,0.6080,0.7635,11397732.32,4510792.93,3460,150319.201538,75.8,0.3958
2025-11,764,451,4392160.63,3599504.76,792655.87,1737900.83,1728168.89,9731.94,2183896.67,61,382,253,26,337797.72,5.598167539267016,28.303769401330378,0.1353,0.847,0.561,0.3957,0.4828,11580175.92,4518840.75,3552,150188.167912,77.1,0.3902
2025-12,712,49,3993448.98,3222724.69,770724.29,276124.57,276124.57,0.00,3662316.98,4,45,27,2,9151.75,5.106741573033708,13.857142857142858,0.0816,0.9184,0.551,0.0691,0.0857,11791526.62,4692120.08,3700,148081.480440,79.6,0.3979
